#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
201904;AC;1030;MANCIO LIMA;00000000;BCO DO BRASIL S.A.;1;1;1204793;1204793;0;0;0;0;0;274584;4291;0;270294;;0;28743347;21636792;851428;3888777;0;0;0;0;69788;0;2296563;0;0;0;0;0;4152;0;7107378;37334254;2154049;7020719;334528;0;334528;0;16732987;0;0;16732987;0;0;0;0;297456;297456;0;1299548;0;2387588;2749346;-361758;7107378;37334254;1200336
201904;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;259668;259668;0;0;0;0;0;-6081411;92797;0;925;;-6175133;13602872;8633639;159137;0;0;0;0;0;6019685;125239;0;0;-1334829;0;0;0;145446;0;25495958;33422534;448903;5853826;518750;0;518750;0;25294;700;0;24594;0;0;0;0;7718;7718;0;229191;0;842894;1109565;-266671;25495958;33422534;1200344
201904;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;239919;239919;0;0;0;0;0;-2614093;21541;0;0;;-2635634;6682306;6428563;275772;0;0;0;0;0;779099;0;0;0;-801127;0;0;0;0;0;14585997;18894129;526875;2774190;404495;0;404495;0;15160;140;0;15021;0;0;0;0;2270;2270;0;43152;0;541989;742139;-200150;14585997;18894129;1200054
201904;AC;15978;FEIJO;00000000;BCO DO BRASIL S.A.;1;1;2630488;2630488;0;0;0;0;0;130176;12474;0;117702;;0;22139235;10480744;318912;9864501;0;0;0;19728;0;0;1455349;0;0;0;0;0;7083;0;4828615;29735598;1917900;3316330;2791933;0;2791933;0;14636360;0;0;14636360;0;0;0;0;63418;63417;0;957729;0;1223313;1693218;-469905;4828615;29735598;1200302
201904;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;842484;842484;0;0;0;0;0;-15863129;107509;0;0;;-15970638;26561264;14409991;154424;0;0;0;0;0;13614198;160593;0;0;-1777941;0;0;0;631220;0;42773381;54945220;809585;8271870;1329980;0;1329980;0;20733;610;0;20124;0;0;0;0;19185;19185;0;552543;0;1167942;1887732;-719790;42773381;54945220;1200302
201904;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;356811;356811;0;0;0;0;0;4358254;0;0;4358254;;0;3160456;3090780;0;0;0;0;0;0;0;0;69676;0;0;0;0;0;0;0;54607324;62482845;2512449;4625956;309537;0;309537;0;78436;0;0;78436;0;0;0;0;1077;1077;0;6244;0;341821;538280;-196459;54607324;62482845;1200302
201904;AC;18690;XAPURI;00000000;BCO DO BRASIL S.A.;1;1;1515018;1515018;0;0;0;0;49786;438408;0;0;438408;;0;47421916;13160715;426982;31778941;0;0;0;0;0;0;2055278;0;0;0;0;0;7693;0;8445994;57878815;3407888;9083247;2773106;0;2773106;0;30969238;0;0;30969238;0;0;0;0;67238;67237;0;1317861;0;1814242;2268608;-454366;8445994;57878815;1200708
201904;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;211733;211733;0;0;0;0;0;8043991;0;0;8043991;;0;1648804;1548827;0;3026;0;0;0;0;0;0;96951;0;0;0;0;0;0;0;75711501;85616030;5116394;4240515;357234;0;357234;0;26986;0;0;26986;0;0;0;0;593;593;0;46233;0;116573;270510;-153938;75711501;85616030;1200708
201904;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;2468655;2468655;0;0;0;0;0;1803732;0;0;1803732;;0;69652696;38934297;1824206;23412396;0;0;0;8146;1521981;0;3951670;0;0;0;0;0;8908;0;23239763;97173753;5110615;9628918;1783066;0;1783066;0;50968078;0;0;50968078;0;0;0;0;320455;320455;0;2282529;0;3840328;4782431;-942102;23239763;97173753;1200609
201904;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;704830;704830;0;0;0;0;0;-26220454;104678;0;262;;-26325394;49136938;30556929;182029;120985;0;0;0;0;19817569;1330630;0;0;-2871204;0;0;0;1060471;0;90025455;114707240;1599532;13917954;4438178;0;4438178;0;42525;2380;0;40145;0;0;0;0;35922;35922;0;1558322;0;3089353;3802735;-713382;90025455;114707240;1200609
201904;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;181858;181858;0;0;0;0;0;6183273;0;0;6181345;;1928;1815697;1736452;0;0;0;0;0;0;0;0;79245;0;0;0;0;0;0;0;53425187;61606016;1894852;5898639;6478;0;6478;0;106973;0;0;106973;0;0;0;0;30996;30996;0;1155;0;241736;449069;-207333;53425187;61606016;1200609
201904;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;1601901;1601901;0;0;0;0;0;860880;5806;0;855073;;0;112185957;29974210;2131141;74555034;0;0;0;0;1243201;109132;4173240;0;0;0;0;0;11782;0;22827732;137488252;7521753;14851618;17823657;0;17823657;0;67094575;0;0;67094575;0;0;0;2;252093;252093;0;2711966;0;4404854;5426765;-1021911;22827732;137488252;1200500
201904;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1183671;1183671;0;0;0;0;0;-22584864;220541;0;0;;-22805405;45741363;18832315;389748;0;0;0;0;0;29275322;307400;0;0;-3063422;0;0;0;6644418;0;227336365;258320952;1536016;22468519;4320491;0;4320491;0;70658;1160;0;69498;0;0;0;0;18366;18367;0;681271;0;1889265;3944928;-2055663;227336365;258320952;1200500
