#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202006;AC;1030;MANCIO LIMA;00000000;BCO DO BRASIL S.A.;1;1;992528;992528;0;0;0;0;0;293460;13410;0;280050;;0;30795501;23728993;848019;3641917;0;0;0;0;264199;0;2312374;0;0;0;0;0;5774;0;9565789;41653054;2799754;11284529;430220;0;430220;0;13306294;0;0;13306294;0;0;0;0;38432;38432;0;474656;0;3753378;4233288;-479910;9565789;41653054;1200336
202006;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;731985;731985;0;0;0;0;0;-942634;36616;0;0;;-979250;14405187;10046784;115820;0;0;0;0;0;5539850;118537;0;-24;-1415780;0;0;0;145446;0;26739922;41079906;2450953;10050079;350050;0;350050;0;92203;60;0;92143;0;0;0;0;17301;17301;0;141940;0;1237459;1790457;-552998;26739922;41079906;1200344
202006;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;607991;607991;0;0;0;0;0;-657458;13385;0;0;;-670843;6547022;6468764;101654;0;0;0;0;0;563996;0;0;-34;-587357;0;0;0;0;0;13571602;20069156;1165154;4017614;404688;0;404688;0;11332;1590;0;9742;0;0;0;0;385;385;0;222498;0;675884;949757;-273873;13571602;20069156;1200054
202006;AC;15978;FEIJO;00000000;BCO DO BRASIL S.A.;1;1;2969504;2969504;0;0;0;0;0;319280;0;0;319280;;0;25951540;13317671;298085;10397948;0;0;0;0;154391;0;1783444;0;0;0;0;0;6875;0;7154484;36401684;4066523;5059592;1448179;0;1448179;0;16034481;0;0;16034480;0;0;0;0;29634;29634;0;347686;0;2261104;2800275;-539171;7154484;36401684;1200302
202006;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;3065251;3065251;0;0;0;0;0;-12422087;54706;0;0;;-12476793;30624148;17625457;107659;0;0;0;0;0;14068341;152487;0;-21;-1329775;0;0;0;683029;0;44099816;66050157;3152881;13967744;2228193;0;2228193;0;44419;2160;0;42259;0;0;0;0;4381;4382;0;289648;0;2263074;2900032;-636958;44099816;66050157;1200302
202006;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;240950;240950;0;0;0;0;0;9852469;0;0;9852469;;0;2663645;2593967;0;0;0;0;0;0;0;0;69678;0;0;0;0;0;0;0;60489990;73247055;6085314;5801748;319423;0;319423;0;54241;0;0;54241;0;0;0;0;1;1;0;11294;0;485043;718985;-233941;60489990;73247055;1200302
202006;AC;18690;XAPURI;00000000;BCO DO BRASIL S.A.;1;1;2171479;2171479;0;0;0;0;53397;2139750;0;0;2139750;;0;47255899;14477081;495174;29849331;0;0;0;0;0;0;2434314;0;0;0;0;0;6410;0;13665428;65292364;6378032;16164505;3367245;0;3367245;0;22555087;0;0;22555086;0;0;0;0;65848;65848;0;407475;0;2688745;3431175;-742430;13665428;65292364;1200708
202006;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;144192;144192;0;0;0;0;0;12966076;0;0;12965476;;600;1957515;1908716;0;3026;0;0;0;0;0;0;45774;0;0;0;0;0;0;0;78204407;93272190;8490218;6016924;245183;0;245183;0;26564;0;0;26564;0;0;0;0;0;0;0;52106;0;236789;419689;-182900;78204407;93272190;1200708
202006;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;3652546;3652546;0;0;0;0;0;3012801;3469;0;3009332;;0;75425930;43268720;1211942;25190001;0;0;0;0;1713566;0;4041702;0;0;0;0;0;9628;0;32981424;115082328;6297010;15781074;2621176;0;2621176;0;50686227;0;0;50686228;0;0;0;0;139672;139672;0;641517;0;5934228;8033315;-2099087;32981424;115082328;1200609
202006;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2081924;2081924;0;0;0;0;0;-21253624;17355;0;500000;;-21770979;50673420;33273521;107204;75420;0;0;0;0;18648736;1240354;0;-204;-2671611;0;0;0;857471;0;85703458;118062649;4340765;20296416;1945634;0;1945634;0;88199;2870;0;85330;0;0;0;0;9546;9545;0;1357143;0;4321488;5589339;-1267851;85703458;118062649;1200609
202006;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;351078;351078;0;0;0;0;0;8792569;0;0;8792211;;358;2275437;2196192;0;0;0;0;0;0;0;0;79245;0;0;0;0;0;0;0;57491439;68910523;3286570;7651222;100067;0;100067;0;98800;0;0;98800;0;0;0;0;30963;30963;0;19313;0;232149;456876;-224727;57491439;68910523;1200609
202006;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;4263225;4263225;0;0;0;0;144299;1416080;11485;0;1404594;;0;131628032;36376098;2096353;87504345;0;0;0;0;1189818;101175;4360244;0;0;0;0;0;12992;0;29201388;166666016;12069994;19731832;24018098;0;24018098;0;73186953;0;0;73186954;0;0;0;2;281163;281163;0;802391;0;7374195;8785458;-1411262;29201388;166666016;1200500
202006;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2229171;2229171;0;0;0;0;0;-11680009;55616;0;0;;-11735625;48915649;21001206;325167;1;0;0;0;0;29348410;296837;0;-2394;-2053577;0;0;0;5613554;0;139100749;184179115;5665161;33013627;2130787;0;2130787;0;134441;4290;0;130151;0;0;0;0;6359;6359;0;893379;0;3234612;4861018;-1626406;139100749;184179115;1200500
202006;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;181626;181626;0;0;0;0;0;16591420;0;0;16591420;;0;2917832;2879845;0;11094;0;0;0;0;0;0;26893;0;0;0;0;0;0;0;104595612;124286490;8968809;10285153;58686;0;58686;0;91364;0;0;91364;0;0;0;0;2;2;0;34042;0;252822;555105;-302283;104595612;124286490;1200500
202006;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;596865;596865;0;0;0;0;0;9852;9852;0;0;;0;62430980;16627635;501394;42869372;0;0;0;0;362456;0;2070123;0;0;0;0;0;5138;0;15913363;78956199;4728275;10397096;1086707;0;1086707;0;42730794;0;0;42730794;0;0;0;0;68472;68471;0;303119;0;3728373;4517010;-788636;15913363;78956199;1200385
202006;AC;29988;PLACIDO DE CASTRO;04902979;BCO DA AMAZONIA S.A.;1;1;229225;229225;0;0;0;0;0;4960689;0;0;4960689;;0;1914099;1877191;0;0;0;0;0;0;0;0;36909;0;0;0;0;0;0;0;90677991;97782005;5446763;1403691;2430;0;2430;0;22406;0;0;22406;0;0;0;0;2;2;0;5070;0;223650;401692;-178042;90677991;97782005;1200385
202006;AC;33730;SENADOR GUIOMARD;00000000;BCO DO BRASIL S.A.;1;1;801261;801261;0;0;0;0;0;1961662;14457;0;1947205;;0;75704477;21811627;747408;49514449;0;0;0;0;311868;0;3319125;0;0;0;0;0;7218;0;24604819;103079438;7582560;14083320;1002455;0;1002455;0;50716477;0;0;50716478;0;0;0;0;85572;85572;0;353196;0;4651038;5265998;-614960;24604819;103079438;1200450
202006;AC;33730;SENADOR GUIOMARD;00360305;CAIXA ECONOMICA FEDERAL;1;1;2073544;2073544;0;0;0;0;0;-2299775;0;0;0;;-2299775;25715358;15810285;248832;0;0;0;0;0;10992609;106274;0;-218;-1442424;0;0;0;1028815;0;54831819;81349761;3186064;17161103;1659717;0;1659717;0;144868;1950;0;142917;0;0;0;0;5766;5766;0;2587702;0;1772723;2648763;-876040;54831819;81349761;1200450
202006;AC;35680;CRUZEIRO DO SUL;00000000;BCO DO BRASIL S.A.;2;2;10957194;10957194;0;0;0;0;0;2731829;3213;0;2728616;;0;167131949;133104747;5450263;3447995;0;0;0;0;4372703;37435;20718805;0;0;0;0;0;39148;0;76259703;257119822;37584663;68168439;12054564;0;12054564;0;39811392;0;0;39811391;0;0;0;0;582141;582142;0;3442175;0;19216745;23473441;-4256696;76259703;257119822;1200203
202006;AC;35680;CRUZEIRO DO SUL;00360305;CAIXA ECONOMICA FEDERAL;1;1;5353842;5353842;0;0;0;0;0;-21957698;338001;0;0;;-22295699;136049698;83386529;643258;454996;0;0;0;0;58059794;980146;0;-149;-7474876;0;0;0;5223049;0;259310173;383979064;14161716;96362667;4046331;0;4046331;0;389284;2540;0;386744;0;0;0;0;30485;30485;0;975108;0;8703300;13460434;-4757134;259310173;383979064;1200203
202006;AC;35680;CRUZEIRO DO SUL;04902979;BCO DA AMAZONIA S.A.;1;1;617300;617300;0;0;0;0;0;14264415;0;0;14264415;;0;3810180;3594025;198472;2835;0;0;0;0;0;0;14848;0;0;0;0;0;0;0;176643477;195335371;10939606;6772233;178187;0;178187;0;218669;0;0;218669;0;0;0;0;8;8;0;32482;0;550709;804316;-253607;176643477;195335371;1200203
202006;AC;35680;CRUZEIRO DO SUL;60746948;BCO BRADESCO S.A.;1;1;3714708;3714708;0;0;0;0;0;55034920;0;0;55034920;;0;1614868;1523920;0;0;0;0;0;0;0;0;90948;0;0;0;0;0;0;0;45256400;105620895;5282844;21910465;30309199;0;30309199;0;20706;19658;0;1048;0;0;0;0;0;0;0;207116;0;2634166;3696173;-1062008;45256400;105620895;1200203
202006;AC;35697;BRASILEIA;00000000;BCO DO BRASIL S.A.;1;1;2588001;2588001;0;0;0;0;0;0;0;0;0;;0;79002924;20082241;850986;54496109;0;0;0;0;0;0;3573589;0;0;0;0;0;15243;0;16786159;98392328;4769843;15926872;402775;0;402775;0;56225979;0;0;56225979;0;0;0;0;248499;248499;0;254200;0;3778000;5497209;-1719209;16786159;98392328;1200104
202006;AC;35697;BRASILEIA;00360305;CAIXA ECONOMICA FEDERAL;1;1;3953451;3953451;0;0;0;0;0;-3709243;9702;0;0;;-3718945;35551335;25511565;398691;0;0;0;0;0;13305942;155342;0;-1011;-3819194;0;0;0;1137526;0;85829038;122762108;7710147;21891468;3698959;0;3698959;0;159125;1100;0;158025;0;0;0;0;43357;43357;0;890334;0;2539679;4472054;-1932375;85829038;122762108;1200104
202006;AC;35697;BRASILEIA;04902979;BCO DA AMAZONIA S.A.;1;1;482555;482555;0;0;0;0;0;7490059;0;0;7490059;;0;5172436;5146760;0;10132;0;0;0;0;0;0;15543;0;0;0;0;0;0;0;125751077;138896127;5728411;6715315;74464;0;74464;0;115080;0;0;115080;0;0;0;0;2352;2352;0;15302;0;494125;693785;-199660;125751077;138896127;1200104
202006;AC;35697;BRASILEIA;60746948;BCO BRADESCO S.A.;1;1;1504910;1504910;0;0;0;0;0;6687579;768;0;6686811;;0;2823675;356103;0;244359;0;0;0;0;0;0;2223212;0;0;0;0;0;0;0;5864136;16880299;722200;2859381;5001260;0;5001260;0;1985;0;0;1985;0;0;0;0;0;0;0;1816448;0;614888;873908;-259020;5864136;16880299;1200104
202006;AC;38955;RIO BRANCO;00000000;BCO DO BRASIL S.A.;10;10;22580083;20182414;2397669;0;0;0;11735898;1006128197;7119;0;1006121078;;0;1498795752;829727244;130672765;309809994;0;0;0;2359966;65795698;522443;159907642;0;0;0;0;0;383807;5675539;1467307829;4012607104;241453184;413130452;1056565093;0;1056565093;0;692515841;0;0;692515841;0;1963437;1963437;305;17455773;17455773;0;15706616;0;106508574;152522184;-46013610;1467307829;4012607104;1200401
202006;AC;38955;RIO BRANCO;00360305;CAIXA ECONOMICA FEDERAL;4;4;10387274;10387274;0;0;0;0;0;-460636339;0;0;1730981;;-462367320;1291521718;388376390;5144117;1769561;0;0;0;0;896774172;8653930;42057087;-5552;-51247987;0;0;0;9498821;0;2655108874;3505880347;84365853;432221406;213508774;0;213508774;0;3489848;251240;0;3238608;0;0;0;0;2477489;2477489;0;59481491;0;55226612;85657361;-30430749;2655108874;3505880347;1200401
202006;AC;38955;RIO BRANCO;04902979;BCO DA AMAZONIA S.A.;2;2;1517109;1517109;0;0;0;0;0;15853975;0;0;15853975;;0;32374203;25188803;6926137;5102;0;0;0;0;0;0;254161;0;0;0;0;0;0;0;843991189;893736476;30508212;11995108;1212672;0;1212672;0;63903;0;0;63903;0;0;0;0;3841;3841;0;151495;0;5810054;6486743;-676688;843991189;893736476;1200401
202006;AC;38955;RIO BRANCO;60701190;ITAÚ UNIBANCO S.A.;3;3;2405961;2405961;0;0;0;0;0;62092015;0;0;62092015;;0;29703600;25130756;5122820;0;0;0;0;0;0;0;0;0;-549977;0;0;0;0;5200;53112312;147319088;3282967;45446589;39321209;0;39321209;0;128506;0;0;128506;0;0;0;0;5936;5936;0;67500;0;5954070;9367385;-3413316;53112312;147319088;1200401
202006;AC;38955;RIO BRANCO;60746948;BCO BRADESCO S.A.;4;4;10117331;10117331;0;0;0;0;0;237976842;297;0;237976545;;0;16115857;10223414;0;5877883;0;0;0;0;0;0;14560;0;0;0;0;0;0;0;135656965;399866995;22996779;65342786;156151902;0;156151902;0;2201580;105441;0;2096139;0;0;0;0;0;0;0;9485207;0;8031776;10274728;-2242952;135656965;399866995;1200401
202006;AC;38955;RIO BRANCO;90400888;BCO SANTANDER (BRASIL) S.A.;2;2;1116028;1116028;0;0;0;0;0;5123763;0;0;447;;5123315;161539552;157537158;19138069;8863356;0;0;0;0;0;0;441142;0;-24440173;0;0;0;0;0;375842375;543621718;6608702;13225176;67129261;0;67129261;0;71035606;0;0;71035606;0;0;0;0;118;118;0;1526047;0;8254433;21982018;-13727585;375842375;543621718;1200401
202006;AC;50830;ACRELANDIA;00000000;BCO DO BRASIL S.A.;1;1;1565047;1565047;0;0;0;0;151187;1742987;0;0;1742987;;0;86303664;13899934;615396;70205361;0;0;0;0;114256;0;1468716;0;0;0;0;0;8275;0;19398090;109169251;6908900;15196865;1455436;0;1455436;0;61988504;0;0;61988504;0;0;0;0;71133;71133;0;290599;0;3859724;4510888;-651163;19398090;109169251;1200013
202006;AC;50847;PORTO ACRE;00360305;CAIXA ECONOMICA FEDERAL;1;1;1002097;1002097;0;0;0;0;0;-1149347;0;0;0;;-1149347;15843728;9874230;92378;0;0;0;0;0;6416834;92626;0;-39;-632301;0;0;0;0;0;30686572;46383050;2070134;11065966;996897;0;996897;0;63546;2580;0;60966;0;0;0;0;2430;2430;0;284236;0;1213269;1619792;-406524;30686572;46383050;1200807
202006;AC;50919;BUJARI;00360305;CAIXA ECONOMICA FEDERAL;1;1;723740;723740;0;0;0;0;0;-14793168;100446;0;0;;-14893614;24549145;11742869;231324;0;0;0;0;0;13428634;187177;0;-1292;-1039567;0;0;0;183481;0;38824487;49487685;1136495;7456201;170656;0;170656;0;77198;5070;0;72128;0;0;0;0;308;308;0;480514;0;1341826;1934487;-592661;38824487;49487685;1200138
202006;AC;50964;EPITACIOLANDIA;00000000;BCO DO BRASIL S.A.;1;1;3855041;3855041;0;0;0;0;0;399379;0;0;399379;;0;66333049;23268000;753659;38839254;0;0;0;0;209960;0;3262176;0;0;0;0;0;12383;0;17130690;87730542;10155676;21640176;6091060;0;6091060;0;27496444;0;0;27496445;0;0;0;0;383034;383034;0;639953;0;4193508;5321203;-1127695;17130690;87730542;1200252
202006;AL;1016;MARIBONDO;00360305;CAIXA ECONOMICA FEDERAL;1;1;2041475;2041475;0;0;0;0;0;234962;234962;0;0;;0;53995547;12575644;318316;1064234;0;0;0;0;33090357;197141;9258955;-322;-2508778;0;0;0;959819;0;131528826;188760629;6114124;45554513;2012766;0;2012766;0;88366;100;0;88266;0;0;0;0;472;472;0;1307711;0;2153852;3944547;-1790696;131528826;188760629;2704807
202006;AL;1700;SAO JOSE DA TAPERA;00000000;BCO DO BRASIL S.A.;1;1;2190660;2190660;0;0;0;0;0;13348356;10328;0;13338028;;0;38013889;20439240;762797;12192627;0;0;0;0;1916142;0;2703083;0;0;0;0;0;13628;0;31869270;85435803;6333781;27319867;3555150;0;3555150;0;11522935;0;0;11522934;0;0;0;0;442183;442183;0;654310;0;3738308;4739400;-1001092;31869270;85435803;2708402
202006;AL;1700;SAO JOSE DA TAPERA;60746948;BCO BRADESCO S.A.;1;1;1675532;1675532;0;0;0;0;0;12056842;0;0;12056842;;0;320327;315698;0;0;0;0;0;0;0;0;4629;0;0;0;0;0;0;0;9490604;23543305;861332;4642528;6254293;0;6254293;0;1161065;455;0;1160610;0;0;0;0;0;0;0;23785;0;1109697;1338079;-228382;9490604;23543305;2708402
202006;AL;2730;IGACI;00000000;BCO DO BRASIL S.A.;1;1;426936;426936;0;0;0;0;0;458445;25471;0;432974;;0;29250102;13825088;113713;10095115;0;0;0;0;4123066;0;1093121;0;0;0;0;0;9298;0;6841708;36986489;3319132;14125299;1296063;0;1296063;0;7453449;0;0;7453449;0;0;0;0;67004;67004;0;1334289;0;2549544;3085403;-535859;6841708;36986489;2703106
202006;AL;3210;OLHO D'AGUA DAS FLORES;00360305;CAIXA ECONOMICA FEDERAL;1;1;4240430;4240430;0;0;0;0;0;-7057719;182567;0;0;;-7240287;40920151;28654390;41155;0;0;0;0;0;13683115;115757;0;-1702;-1572564;0;0;0;216864;0;93616254;131935979;5350778;28381679;813632;0;813632;0;103144;0;0;103144;0;0;0;0;4297;4297;0;778318;0;2887878;4402400;-1514522;93616254;131935979;2705705
