#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202401;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;157892;157892;0;0;0;0;-11251671;18615;0;-11270286;28409391;19806136;39628;5765762;0;4262935;101510;0;-1566579;0;0;0;0;0;17315613;2830466;11219348;1488060;0;1488060;0;56619;0;56619;0;0;0;28760;28760;1314426;0;377933;430613;-52680;17315613;1200344
202401;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;633963;633963;0;0;0;0;-5442047;76948;1279754;-6798748;16832431;15068553;132957;1706170;0;914046;0;0;-989296;0;0;0;0;0;12024347;750952;7935121;1628443;0;1628443;0;19313;0;19313;0;0;0;7752;7751;1513669;0;169099;273717;-104618;12024347;1200054
202401;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1838085;1838085;0;0;0;0;-35222886;109560;0;-35332446;62324668;42934207;0;952002;0;20569734;130946;0;-2262221;0;0;0;0;0;28939867;2879277;17989981;1922033;0;1922033;0;56366;2000;54366;0;0;0;31749;31749;5374890;0;685569;873685;-188116;28939867;1200302
202401;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;394224;394224;0;0;0;0;0;0;0;0;13634324;4556626;90784;8971760;0;0;0;15154;0;0;0;0;0;0;14028548;5233819;6465030;470424;0;470424;0;1701897;0;1701897;0;0;0;523;523;45789;0;111066;167101;-56035;14028548;1200302
202401;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;254203;254203;0;0;0;0;6182;0;0;6182;48162883;6239008;4883783;37032222;0;0;0;7870;0;0;0;0;0;0;48423268;9381828;6075531;180810;0;180810;0;32425784;0;32425783;0;0;0;118;118;13655;0;345544;391121;-45577;48423268;1200708
202401;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;3285828;3285828;0;0;0;736832;329032;45997;283035;0;287705870;128664597;3231525;138908845;6;2066293;0;14834603;0;0;0;0;28452;0;292086015;17791609;29470956;7968166;0;7968166;0;230828745;0;230828744;0;0;0;508017;508017;1683943;0;3834580;4307963;-473383;292086015;1200609
202401;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2321074;2321074;0;0;0;0;-51523783;213072;0;-51736856;97791846;68268233;0;3448256;0;29246492;902172;0;-4073307;0;0;0;0;0;48589136;6177364;24282594;5736372;0;5736372;0;159854;0;159854;0;0;0;29404;29404;11195872;0;1007676;1365927;-358251;48589136;1200609
202401;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;491731;491731;0;0;0;0;358;0;0;358;26222341;5155346;653746;20333640;0;0;0;79608;0;0;0;0;0;0;26714430;3342912;7119147;113441;0;113441;0;15967321;0;15967321;0;0;0;1333;1333;22031;0;148245;208143;-59897;26714430;1200609
202401;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;2680631;2680631;0;0;0;0;445093;20309;424784;0;197431391;64843671;520793;122155719;0;1311513;0;8599696;0;0;0;0;13278;0;200570392;7940858;20837133;17507400;0;17507400;0;150926415;0;150926415;0;0;3;220796;220796;1036144;0;2101644;2465510;-363866;200570392;1200500
202401;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2248254;2248254;0;0;0;0;-49066873;210189;0;-49277063;109216316;41790431;2969397;33883465;0;34047732;189547;0;-3664256;0;0;0;1291849;0;63689546;5877561;40456224;5131690;0;5131690;0;178818;150;178667;0;0;0;23143;23143;10905360;0;1116749;1564998;-448249;63689546;1200500
202401;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;355923;355923;0;0;0;0;0;0;0;0;24050983;10090502;5431787;8371592;0;0;0;157102;0;0;0;0;0;0;24406906;8373577;12006753;50424;0;50424;0;3712494;0;3712494;0;0;0;300;300;19867;0;243491;317166;-73675;24406906;1200500
202401;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;1299534;1299534;0;0;0;0;133937;8677;125260;0;121301329;36217736;1047492;79245469;0;338221;0;4452410;0;0;0;0;15175;0;122749974;6213361;10591880;3615418;0;3615418;0;100048055;0;100048055;0;0;0;69576;69575;931566;0;1280118;1450500;-170381;122749974;1200385
202401;AC;29988;PLACIDO DE CASTRO;04902979;BCO DA AMAZONIA S.A.;1;1;281865;281865;0;0;0;0;0;0;0;0;34168679;8749686;4325827;21070270;0;0;0;22895;0;0;0;0;0;0;34450544;3556395;1148806;5596;0;5596;0;29416960;0;29416961;0;0;0;3772;3772;14621;0;304393;319609;-15216;34450544;1200385
202401;AC;33730;SENADOR GUIOMARD;00000000;BCO DO BRASIL S.A.;1;1;1664344;1664344;0;0;0;204221;217914;15236;202679;0;132855342;47008725;1605239;74644438;0;1314313;0;8282626;0;0;0;0;9484;0;134951306;7528862;18391101;10364930;0;10364930;0;96336909;0;96336909;0;0;0;210251;210251;714718;0;1404534;1770082;-365548;134951306;1200450
202401;AC;33730;SENADOR GUIOMARD;00360305;CAIXA ECONOMICA FEDERAL;1;1;1725687;1725687;0;0;0;0;-38419244;0;0;-38419244;67862268;45643508;37010;177416;0;26486549;0;0;-4482216;0;0;0;0;0;31168710;2902167;20661421;2302646;0;2302646;0;123695;0;123695;0;0;0;37169;37169;4575395;0;566216;946003;-379787;31168710;1200450
202401;AC;35680;CRUZEIRO DO SUL;00000000;BCO DO BRASIL S.A.;1;1;6841580;6841580;0;0;0;1123159;1492276;30941;1461336;0;403726503;310809876;10310593;24384548;7;6132181;25970;52063329;0;0;0;0;46360;0;413229879;46718187;95493379;37894551;0;37894551;0;218457283;0;218457282;0;0;0;1288249;1288249;6315740;0;7062491;8217071;-1154580;413229879;1200203
