#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202508;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;299529;299529;0;0;0;0;-3707752;28580;0;-3736332;29220680;22114035;103458;3121518;0;3728045;0;153624;0;0;0;0;0;0;25812457;6115441;15767960;1036691;0;1036691;0;109288;420;108868;0;0;0;19263;19264;2329551;0;396429;962432;-566002;25774622;1200344
202508;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;934808;934808;0;0;0;0;-3899522;99503;0;-3999025;17230941;14409269;324;55992;0;2756029;0;9328;0;0;0;0;0;0;14266228;2202243;7749660;1562487;0;1562487;0;38732;0;38732;0;0;0;2037;2037;2351186;0;329926;616603;-286677;14236271;1200054
202508;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;2279366;2279366;0;0;0;0;-32561983;256041;0;-32818024;72072752;45514479;0;353626;0;25923061;0;281586;0;0;0;0;0;0;41790135;4051237;25146508;3292673;0;3292673;0;82817;200;82617;0;0;0;13876;13875;8196700;0;815011;2221606;-1406595;41598820;1200302
202508;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;362654;362654;0;0;0;0;0;0;0;0;15642985;6505147;2234571;6888114;0;0;0;15154;0;0;0;0;0;0;16005639;5471309;7342864;533443;0;533443;0;2263838;0;2263838;0;0;0;3928;3928;64683;0;325574;435809;-110235;16005639;1200302
202508;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;321209;321209;0;0;0;0;6182;0;0;6182;56714380;5128378;9067420;42510536;0;0;0;8046;0;0;0;0;0;0;57041771;5603455;6892941;221907;0;221907;0;43460450;0;43460451;0;0;0;4243;4243;9566;0;849210;967171;-117961;57041771;1200708
202508;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;2875368;2875368;0;0;0;0;47600605;47810;47419896;132900;331850173;123078163;6169133;180539611;0;2205027;0;19873623;-15384;0;0;0;19849;0;382345995;13358555;34060021;9372087;0;9372087;0;314061741;0;314061741;0;0;0;282039;282039;2515072;0;8696481;10166624;-1470144;382345995;1200609
202508;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;3211128;3211128;0;0;0;0;-56628191;0;0;-56628191;111646076;78174873;0;1452024;0;31866526;0;152653;0;0;0;0;530329;0;58759341;5370321;30361855;8824767;0;8824767;0;191517;760;190757;0;0;0;33879;33879;9542466;0;2783145;3617570;-834425;57107950;1200609
202508;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;228670;228670;0;0;0;0;358;0;0;358;49617479;9081026;6609608;33844840;0;0;0;82005;0;0;0;0;0;0;49846507;9580195;8971091;201105;0;201105;0;29618224;0;29618224;0;0;0;22114;22114;9752;0;1444026;1579506;-135480;49846507;1200609
202508;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;2969024;2969024;0;0;0;0;32044669;9198;32035471;0;230039425;63096820;752422;155280413;0;1179823;0;9738563;-8615;0;0;0;15879;0;265068997;9635985;24861307;24579036;0;24579036;0;198485041;0;198485041;0;0;3;127588;127588;1639467;0;5740569;6774006;-1033437;265068997;1200500
202508;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2247210;2247210;0;0;0;0;-25674973;78197;0;-25753170;105557048;42114743;142413;29446689;0;33643577;0;209626;0;0;0;0;1443126;0;83572411;7413195;53269973;4201092;0;4201092;0;163024;450;162574;0;0;0;24818;24818;12709797;0;5480502;2794862;2685640;83262403;1200500
202508;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;186621;186621;0;0;0;0;-137337;0;-137337;0;47997555;20828783;4274093;22737021;0;0;0;157658;0;0;0;0;0;0;48046839;6757148;11966237;68447;0;68447;0;27883648;0;27883648;0;0;0;23352;23352;62483;0;1285525;1478430;-192906;48046839;1200500
202508;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;1109637;1109637;0;0;0;0;17961078;4928;17956150;0;126737604;38644773;505023;81785874;0;701335;0;5106582;-5983;0;0;0;9925;0;145818243;5501370;12812603;8644585;0;8644585;0;114020596;0;114020597;0;0;0;28629;28628;1563698;0;3246762;3708542;-461779;145818243;1200385
