Anomes;1178 - Selic;433 - IPCA;24364 - IBC-Br;24369 - PNADC;10813 - USD;
201501;0,1215;1,24;101,83016;6,9;2,6617;
201502;0,1215;1,22;101,11056;7,5;2,8777;
201503;0,1265;1,32;100,90803;8;3,2074;
201504;0,1315;0,71;99,66773;8,1;2,993;
201505;0,1315;0,74;99,0121;8,2;3,1781;
201506;0,1365;0,79;97,93364;8,4;3,1019;
201507;0,1415;0,62;96,94891;8,6;3,3934;
201508;0,1415;0,22;97,38687;8,8;3,6461;
201509;0,1415;0,54;96,58778;9;3,9722;
201510;0,1415;0,82;97,22821;9,1;3,8582;
201511;0,1415;1,01;96,0443;9,1;3,8499;
201512;0,1415;0,96;95,70435;9,1;3,9042;
201601;0,1415;1,27;95,27122;9,6;4,0422;
201602;0,1415;0,9;95,23038;10,3;3,979;
201603;0,1415;0,43;94,49982;11;3,5583;
201604;0,1415;0,61;94,44071;11,3;3,4502;
201605;0,1415;0,78;94,10806;11,3;3,5945;
201606;0,1415;0,35;94,35477;11,4;3,2092;
201607;0,1415;0,52;94,10197;11,7;3,2384;
201608;0,1415;0,44;93,79375;11,9;3,2397;
201609;0,1415;0,08;93,80094;11,9;3,2456;
201610;0,139;0,26;93,59702;11,9;3,1805;
201611;0,139;0,18;93,44068;12;3,3961;
201612;0,1365;0,3;93,20355;12,1;3,2585;
201701;0,129;0,38;93,90319;12,7;3,1264;
201702;0,1215;0,33;95,12773;13,3;3,0987;
201703;0,1215;0,25;95,10946;13,9;3,1678;
201704;0,1115;0,14;94,93843;13,7;3,1978;
201705;0,1115;0,31;94,80045;13,4;3,2431;
201706;0,1015;-0,23;95,25823;13,1;3,3076;
201707;0,0915;0,24;95,35418;12,9;3,1301;
201708;0,0915;0,19;95,06162;12,7;3,1465;
201709;0,0815;0,16;95,02119;12,5;3,1674;
201710;0,074;0,42;95,33024;12,3;3,2763;
201711;0,074;0,28;95,35375;12,1;3,261;
201712;0,069;0,44;96,88334;11,9;3,3074;
201801;0,069;0,29;96,23376;12,3;3,1618;
201802;0,0665;0,32;95,92073;12,7;3,2443;
201803;0,064;0,09;95,90791;13,2;3,3232;
201804;0,064;0,22;96,45391;13;3,4805;
201805;0,064;0,4;93,55771;12,8;3,7364;
201806;0,064;1,26;96,16006;12,6;3,8552;
201807;0,064;0,33;96,51114;12,4;3,7543;
201808;0,064;-0,09;97,27026;12,2;4,1347;
201809;0,064;0,48;96,69679;12;4,0033;
201810;0,064;0,45;97,00729;11,8;3,7171;
201811;0,064;-0,21;97,18708;11,7;3,8627;
201812;0,064;0,15;97,57527;11,7;3,8742;
201901;0,064;0,32;97,44915;12,2;3,6513;
201902;0,064;0,43;96,7173;12,5;3,7379;
201903;0,064;0,75;96,1683;12,8;3,8961;
201904;0,064;0,57;96,23201;12,6;3,9447;
201905;0,064;0,13;97,54137;12,4;3,9401;
201906;0,064;0,01;96,97627;12,1;3,8316;
201907;0,064;0,19;96,70067;11,9;3,7643;
201908;0,059;0,11;96,93426;11,9;4,1379;
201909;0,054;-0,04;97,31506;11,9;4,1638;
201910;0,049;0,1;98,48077;11,7;4,0035;
201911;0,049;0,51;98,09974;11,3;4,2234;
201912;0,044;1,15;97,80431;11,1;4,0301;
202001;0,044;0,21;97,93174;11,3;4,2689;0,045
202002;0,0415;0,25;98,07372;11,7;4,4981;0,0425
202003;0,0365;0,07;91,45784;12,4;5,1981;0,0375
202004;0,0365;-0,31;83,18286;12,7;5,4264;0,0375
202005;0,029;-0,38;85,81922;13,1;5,4257;0,03
202006;0,0215;0,26;89,62756;13,6;5,4754;0,0225
202007;0,0215;0,36;91,98253;14,1;5,2027;0,0225
202008;0,019;0,24;93,72629;14,8;5,4707;0,02
202009;0,019;0,64;95,65664;14,9;5,6401;0,02
202010;0,019;0,86;97,48952;14,6;5,7712;0,02
202011;0,019;0,89;97,51753;14,3;5,3311;0,02
202012;0,019;1,35;97,6831;14,2;5,1961;0,02
202101;0,019;0,25;97,93804;14,4;5,4753;0,02
202102;0,019;0,86;98,86548;14,6;5,5296;0,02
202103;0,0265;0,93;95,30513;14,9;5,6967;0,0275
202104;0,0265;0,31;96,45156;14,8;5,403;0,0275
202105;0,034;0,83;97,27805;14,7;5,2316;0,035
202106;0,0415;0,53;96,82534;14,2;5,0016;0,0425
202107;0,0415;0,96;96,48687;13,7;5,121;0,0425
202108;0,0515;0,87;97,08547;13,2;5,1427;0,0525
202109;0,0615;1,16;96,98888;12,7;5,4388;0,0625
202110;0,0765;1,25;97,44405;12,1;5,6424;0,0775
202111;0,0765;0,95;98,96998;11,6;5,6193;0,0775
202112;0,0915;0,73;99,1176;11,1;5,5799;0,0925
202201;0,0915;0,54;97,57874;11,2;5,3568;0,0925
202202;0,1065;1,01;98,5933;11,2;5,1388;0,1075
202203;0,1165;1,62;99,54551;11,1;4,7372;0,1175
202204;0,1165;1,06;99,72445;10,5;4,9185;0,1175
202205;0,1265;0,47;99,73677;9,8;4,7283;0,1275
202206;0,1315;0,67;99,57525;9,3;5,2374;0,1325
202207;0,1315;-0,68;101,47081;9,1;5,1878;0,1325
202208;0,1365;-0,36;101,07446;8,9;5,1784;0,1375
202209;0,1365;-0,29;101,06116;8,7;5,406;0,1375
202210;0,1365;0,59;101,32107;8,3;5,2564;0,1375
202211;0,1365;0,41;100,49463;8,1;5,2935;0,1375
202212;0,1365;0,62;100,16838;7,9;5,2171;0,1375
202301;0,1365;0,53;100,25354;8,4;5,0987;0,1375
202302;0,1365;0,84;103,28361;8,6;5,2072;0,1375
202303;0,1365;0,71;102,97768;8,8;5,0798;0,1375
202304;0,1365;0,61;104,40281;8,5;5,0001;0,1375
202305;0,1365;0,23;102,58371;8,3;5,0953;0,1375
202306;0,1365;-0,08;102,44854;8;4,8186;0,1375
202307;0,1365;0,12;102,92029;7,9;4,7409;0,1375
202308;0,1315;0,23;102,48362;7,8;4,9213;0,1325
202309;0,1265;0,26;102,42154;7,7;5,007;0,1275
202310;0,1265;0,24;102,67134;7,6;5,0569;0,1275
202311;0,1215;0,28;103,51876;7,5;4,9349;0,1225
202312;0,1165;0,56;104,41349;7,4;4,8407;0,1175
202401;0,1165;0,42;104,46662;7,6;4,9529;0,1175
202402;0,1115;0,83;104,96335;7,8;4,9827;0,1125
202403;0,1065;0,16;104,64568;7,9;4,9956;0,1075
202404;0,1065;0,38;105,39019;7,5;5,1712;0,1075
202405;0,104;0,46;105,77643;7,1;5,241;0,105
202406;0,104;0,21;106,66194;6,9;5,5583;0,105
202407;0,104;0,38;107,08324;6,8;5,6615;0,105
202408;0,104;-0,02;107,21232;6,6;5,6556;0,105
202409;0,1065;0,44;107,92954;6,4;5,4475;0,1075
202410;0,1065;0,56;107,96957;6,2;5,7773;0,1075
202411;0,1115;0,39;107,84368;6,1;6,0529;0,1125
202412;0,1215;0,52;106,76943;6,2;6,1917;0,1225
202501;0,1315;0,16;108,32534;6,5;5,8295;0,1325
202502;0,1315;1,31;109,0123;6,8;5,8482;0,1325
202503;0,1415;0,56;109,77021;7;5,7416;0,1425
202504;0,1415;0,43;110,25274;6,6;5,6602;0,1425
202505;0,1465;0,26;109,00458;6,2;5,7081;0,1475
202506;0,149;0,24;108,79272;5,8;5,4565;0,15
202507;0,149;0,26;108,22321;5,6;5,6015;0,15
202508;0,149;-0,11;108,65847;5,6;5,4258;0,15
202509;0,149;0,48;-;5,6;5,318;0,15
202510;0,149;0,09;-;-;5,3837;0,15
202511;0,149;-;-;-;5,2814;0,15
